client,material_num,plant,batch_num,special_stock_ind,vendor_account_num,current_period_fiscal_year,current_period,lblab,lbins,lbein,lbuml,is_quarantined
100,000000000001000278,3451,0000814699,O,0001008128,2015,4,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000827573,O,0001008128,2015,5,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000850331,O,0001008128,2015,7,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000854065,O,0001008128,2015,8,39349.020,0.000,0.000,0.000,false
100,000000000001000278,3451,0000861287,O,0001008128,2015,9,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000870585,O,0001008128,2015,10,217658.296,0.000,0.000,0.000,false
100,000000000001000278,3451,0000889142,O,0001008128,2015,12,235736.519,0.000,0.000,0.000,false
100,000000000001000278,3451,0000901669,O,0001008128,2015,12,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000904897,O,0001008128,2016,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000910172,O,0001008128,2016,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000914225,O,0001008128,2016,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000936951,O,0001008128,2016,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000954016,O,0001008128,2014,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001006353,O,0001008128,2016,10,144774.927,0.000,0.000,0.000,false
100,000000000001000278,3451,0001021618,O,0001008128,2016,12,215927.723,0.000,0.000,0.000,false
100,000000000001000278,3451,0001022964,O,0001008128,2016,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001030859,O,0001008128,2017,1,146960.678,0.000,0.000,0.000,false
100,000000000001000278,3451,0001082670,O,0001008128,2017,5,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001100637,O,0001008128,2017,8,237908.625,0.000,0.000,0.000,false
100,000000000001000278,3451,0001106274,O,0001008128,2017,8,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001130078,O,0001008128,2017,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001130078,O,0001008128,2017,12,372174.400,0.000,0.000,0.000,false
100,000000000001000278,3451,0001145605,O,0001008128,2018,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001165861,O,0001008128,2018,4,45130.898,0.000,0.000,0.000,false
100,000000000001000278,3451,0001169232,O,0001008128,2018,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001185018,O,0001008128,2018,5,0.000,0.000,0.000,0.000,false
