client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,lvorm,ersda,ernam,aenam,laeda,lfgja,lfmon,spers,slabs,sinsm,seinm,sspem,svmla,svmin,svmei,svmsp,kzisl,kzisq,kzise,kziss,kzvsl,kzvsq,kzvse,kzvss,mmeng,ameng,kodll,kojin,korue,is_quarantined
100,000000000001020157,5401,0001,5401112120,K,0001026611, ,2021-05-03 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401112620,K,0001026611, ,2021-05-07 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401112720,K,0001026611, ,2021-05-10 05:00:00.000000,Q003381, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401113520,K,0001026611, ,2021-05-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,12, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401116720,K,0001026611, ,2021-06-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401116920,K,0001026611, ,2021-06-21 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401117920,K,0001026611, ,2021-06-30 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020157,5401,0001,5401119720,K,0001026611, ,2021-07-19 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401120220,K,0001026611, ,2021-07-22 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401123720,K,0001026611, ,2021-08-26 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401125220,K,0001026611, ,2021-09-10 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401127820,K,0001026611, ,2021-10-06 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020157,5401,0001,5401128020,K,0001026611, ,2021-10-28 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020161,5401,0001,5401019820,K,0001026611, ,2020-07-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020161,5401,0001,5401104320,K,0001026611, ,2021-02-15 06:00:00.000000,Q003381, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020161,5401,0001,5401104820,K,0001026611, ,2021-02-18 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,12, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020161,5401,0001,5401110920,K,0001026611, ,2021-04-20 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020161,5401,0001,5401117520,K,0001026611, ,2021-06-25 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
